article_idx,pmid,title,bertopic_topic,display_label
20614,33491541,Drivers of Infectious Disease Seasonality: Potential Implications for COVID-19.,9,9_sarscov2_virus_viral_covid19
20615,33487358,H2O2 priming promotes salt tolerance in maize by protecting chloroplasts ultrastructure and primary metabolites modulation.,0,0_cells_cell_abstract_title
20616,33485105,"Biphenylurea/thiourea derivatives tagged with heteroarylsulfonamide motifs as novel VEGFR2 inhibitors; Design, synthesis and anti-angiogenic activity.",4,4_abstract_title_cells_cell
20617,33471611,Development and plasticity of complex movement representations.,6,6_proteins_cell_protein_abstract
20618,33470439,m6 A RNA methylation: from mechanisms to therapeutic potential.,0,0_cells_cell_abstract_title
20619,33469221,Publisher Correction: A vaccine targeting the RBD of the S protein of SARS-CoV-2 induces protective immunity.,9,9_sarscov2_virus_viral_covid19
20620,33464299,LNCcation: lncRNA localization and function.,6,6_proteins_cell_protein_abstract
20621,33464168,"Androgens, the kidney, and COVID-19: an opportunity for translational research.",7,7_title_abstract_cell_cells
20622,33462395,Opposing Wnt signals regulate cervical squamocolumnar homeostasis and emergence of metaplasia.,0,0_cells_cell_abstract_title
20623,33462123,Modes of Regulated Cell Death in Cancer.,3,3_abstract_title_cells_cell
20624,33456514,Toxicity of the acetyl-para-aminophenol group of medicines to intact intervertebral disc tissue cells.,2,2_cells_cancer_cell_expression
20625,33454158,The dazzling rise of neurofilaments: Physiological functions and roles as biomarkers.,4,4_abstract_title_cells_cell
20626,33446414,[Histopathological features due to the SARS-CoV-2].,11,11_patients_study_95_risk
20627,33432227,RORα is a critical checkpoint for T cell and ILC2 commitment in the embryonic thymus.,0,0_cells_cell_abstract_title
20628,33429260,"The cross-talk between signaling pathways, noncoding RNAs and DNA damage response: Emerging players in cancer progression.",4,4_abstract_title_cells_cell
20629,33420513,The ring finger protein 213 gene (Rnf213) contributes to Rift Valley fever resistance in mice.,3,3_abstract_title_cells_cell
20630,33387787,Programmed -1 Ribosomal Frameshifting in coronaviruses: A therapeutic target.,4,4_abstract_title_cells_cell
20631,33359084,"Gain-of-""endocytic' function in mutant p53 cancer cells.",5,5_abstract_title_cells_cancer
20632,33358936,"Nanobodies, the potent agents to detect and treat the Coronavirus infections: A systematic review.",9,9_sarscov2_virus_viral_covid19
20633,33341003,Lisofylline mitigates cardiac inflammation in a mouse model of obesity through improving insulin secretion and activating cardiac AMPK signaling pathway.,7,7_title_abstract_cell_cells
20634,33337695,Circulating MicroRNA Profiling Reveals Specific Subsignatures in Response to a Maximal Incremental Exercise Test.,11,11_patients_study_95_risk
20635,33333250,A high-throughput drug screening strategy against coronaviruses.,0,0_cells_cell_abstract_title
20636,33328614,Cellular senescence in ageing: from mechanisms to therapeutic opportunities.,3,3_abstract_title_cells_cell
20637,33328611,Generation and long-term culture of advanced cerebral organoids for studying later stages of neural development.,7,7_title_abstract_cell_cells
20638,33321657,Graphene-based materials enhance cardiomyogenic and angiogenic differentiation capacity of human mesenchymal stem cells in vitro - Focus on cardiac tissue regeneration.,2,2_cells_cancer_cell_expression
20639,33321436,Emerging role of mitochondria in airborne particulate matter-induced immunotoxicity.,2,2_cells_cancer_cell_expression
20640,33316352,Transcriptional behavior of the HIV-1 promoter in context of the BACH2 prominent proviral integration gene.,0,0_cells_cell_abstract_title
20641,33302198,"A novel denitrifying phosphorus removal and partial nitriﬁcation, anammox (DPR-PNA) process for advanced nutrients removal from high-strength wastewater.",4,4_abstract_title_cells_cell
20642,33301427,The integrated stress response mediates necrosis in murine Mycobacterium tuberculosis granulomas.,0,0_cells_cell_abstract_title
20643,33294922,A Positive Feedback Loop Between TGFβ and Androgen Receptor Supports Triple-negative Breast Cancer Anoikis Resistance.,1,1_abstract_title_cells_cell
20644,33293335,ESI mutagenesis: a one-step method for introducing mutations into bacterial artificial chromosomes.,0,0_cells_cell_abstract_title
20645,33290105,Dynamic Changes of Mitochondrial DNA Copy Number in Gastrointestinal Tract Cancers: A Systematic Review and Meta-Analysis.,1,1_abstract_title_cells_cell
20646,33274811,Cerebrospinal fluid replacement solutions promote neuroglia migratory behaviors and spinal explant outgrowth in microfluidic culture.,2,2_cells_cancer_cell_expression
20647,33271332,Hepatocyte-specific PKCβ deficiency protects against high-fat diet-induced nonalcoholic hepatic steatosis.,0,0_cells_cell_abstract_title
20648,33267662,Circulating Markers of Neutrophil Extracellular Traps Are of Prognostic Value in Patients With COVID-19.,9,9_sarscov2_virus_viral_covid19
20649,33264077,Protective and anti-inflammatory effects of acetylcholine in the heart.,5,5_abstract_title_cells_cancer
20650,33263189,Identification of two subtilisin-like serine proteases engaged in the degradation of recombinant proteins in Nicotiana benthamiana.,0,0_cells_cell_abstract_title
20651,33260195,A single-dose live-attenuated YF17D-vectored SARS-CoV-2 vaccine candidate.,0,0_cells_cell_abstract_title
20652,33254850,Bats and birds as viral reservoirs: A physiological and ecological perspective.,9,9_sarscov2_virus_viral_covid19
20653,33253920,"Expanded Access Programs, compassionate drug use, and Emergency Use Authorizations during the COVID-19 pandemic.",1,1_abstract_title_cells_cell
20654,33253780,JUUL e-liquid exposure elicits cytoplasmic Ca2+ responses and leads to cytotoxicity in cultured airway epithelial cells.,4,4_abstract_title_cells_cell
20655,33249261,"Psychopharmacological characterization of an emerging drug of abuse, a synthetic opioid U-47700, in adult zebrafish.",4,4_abstract_title_cells_cell
20656,33246101,Distinct extracellular-matrix remodeling events precede symptoms of inflammation.,3,3_abstract_title_cells_cell
20657,33215731,Soft repression: Subtle transcriptional regulation with global impact.,3,3_abstract_title_cells_cell
20658,33189783,Unraveling the multifaceted nature of the nuclear function of mTOR.,6,6_proteins_cell_protein_abstract
20659,33188779,Remodeling of the m6A landscape in the heart reveals few conserved post-transcriptional events underlying cardiomyocyte hypertrophy.,1,1_abstract_title_cells_cell
20660,33179522,"PRIMPOL ready, set, reprime!",3,3_abstract_title_cells_cell
20661,33174170,Comparison of clinical characteristics of patients with pandemic SARS-CoV-2-related and community-acquired pneumonias in Hungary - a pilot historical case-control study.,1,1_abstract_title_cells_cell
20662,33173220,Defining the genotypic and phenotypic spectrum of X-linked MSL3-related disorder.,1,1_abstract_title_cells_cell
20663,33131360,Diagnostic Salivary Tests for SARS-CoV-2.,9,9_sarscov2_virus_viral_covid19
20664,33130510,Evaluation of a SARS-CoV-2 lateral flow assay using the plaque reduction neutralization test.,3,3_abstract_title_cells_cell
20665,33130411,Decoding mixed messages in the developing cortex: translational regulation of neural progenitor fate.,6,6_proteins_cell_protein_abstract
20666,33093684,SARS-CoV-2 Mpro inhibitors and activity-based probes for patient-sample imaging.,3,3_abstract_title_cells_cell
20667,33039945,Mechanobiology in cortical waves and oscillations.,6,6_proteins_cell_protein_abstract
20668,33034953,Derivatization increases mosquito larvicidal activity of the sesquiterpene lactone parthenin isolated from the invasive weed Parthenium hysterophorus.,10,10_resistance_isolates_strains_study
20669,32988224,Disentangling the fibrous microenvironment: designer culture models for improved drug discovery.,0,0_cells_cell_abstract_title
20670,32981857,Clinical effects of intrathecal administration of expanded Wharton jelly mesenchymal stromal cells in patients with chronic complete spinal cord injury: a randomized controlled study.,2,2_cells_cancer_cell_expression
20671,32978812,"Lotus japonicus Nuclear Factor YA1, a nodule emergence stage-specific regulator of auxin signalling.",1,1_abstract_title_cells_cell
20672,32950624,Determining Risk Factors for Endovenous Heat-induced Thrombosis after Radiofrequency Ablation.,11,11_patients_study_95_risk
20673,32928781,Organization of the Pluripotent Genome.,0,0_cells_cell_abstract_title
20674,32920851,Mast cells crosstalk with B cells in the gut and sustain IgA response in the inflamed intestine.,1,1_abstract_title_cells_cell
20675,32889489,Single-molecule conformational dynamics of viroporin ion channels regulated by lipid-protein interactions.,0,0_cells_cell_abstract_title
20676,32888117,Outbreak of multi-drug-resistant (MDR) Shigella flexneri in northern Australia due to an endemic regional clone acquiring an IncFII plasmid.,5,5_abstract_title_cells_cancer
20677,32857425,A nontoxic fungal natural product modulates fin regeneration in zebrafish larvae upstream of FGF-WNT developmental signaling.,3,3_abstract_title_cells_cell
20678,32745625,Multifaceted activities of the plant SAGA complex.,5,5_abstract_title_cells_cancer
20679,32728998,Diagnosis in a snap: a pilot study using Snapchat in radiologic didactics.,11,11_patients_study_95_risk
20680,32728809,Identifying adaptive alleles in the human genome: from selection mapping to functional validation.,1,1_abstract_title_cells_cell
20681,32697344,COVID-19 and olfactory dysfunction: A possible associative approach towards neurodegenerative diseases.,0,0_cells_cell_abstract_title
20682,32627332,"Microtubule-associated proteins and emerging links to primary cilium structure, assembly, maintenance, and disassembly.",6,6_proteins_cell_protein_abstract
20683,32595215,Emerging roles for the GPI-anchored tumor suppressor OPCML in cancers.,1,1_abstract_title_cells_cell
20684,32514157,Correction: Impact of autologous blood transfusion after bone marrow harvest on unrelated donor's health and outcome: a CIBMTR analysis.,11,11_patients_study_95_risk
20685,32484610,"Plectin dysfunction in neurons leads to tau accumulation on microtubules affecting neuritogenesis, organelle trafficking, pain sensitivity and memory.",6,6_proteins_cell_protein_abstract
20686,33572517,Potential Dual Role of West Nile Virus NS2B in Orchestrating NS3 Enzymatic Activity in Viral Replication.,9,9_sarscov2_virus_viral_covid19
20687,33573255,Epigenetics of Alzheimer's Disease.,3,3_abstract_title_cells_cell
20688,33572941,"Mucopolysaccharidosis Type I: Current Treatments, Limitations, and Prospects for Improvement.",2,2_cells_cancer_cell_expression
20689,33514743,A single-dose live attenuated chimeric vaccine candidate against Zika virus.,4,4_abstract_title_cells_cell
20690,33514392,CRISPR/Cas9-mediated knockout of clinically relevant alloantigenes in human primary T cells.,2,2_cells_cancer_cell_expression
20691,33404643,High Prevalence of Molecular Markers of Plasmodium falciparum Resistance to Sulphadoxine-Pyrimethamine in Parts of Ghana: A Threat to ITPTp-SP?,10,10_resistance_isolates_strains_study
20692,33199021,Evolution patterns of SARS-CoV-2: Snapshot on its genome variants.,9,9_sarscov2_virus_viral_covid19
20693,33585615,Review of Diagnostic Tests for Detection of Mycobacterium bovis Infection in South African Wildlife.,9,9_sarscov2_virus_viral_covid19
20694,33585482,Exometabolomic Analysis of Decidualizing Human Endometrial Stromal and Perivascular Cells.,0,0_cells_cell_abstract_title
20695,33584611,A Virulence Associated Siderophore Importer Reduces Antimicrobial Susceptibility of Klebsiella pneumoniae.,0,0_cells_cell_abstract_title
20696,33525546,Desmoplastic Small Round Cell Tumor: A Review of Main Molecular Abnormalities and Emerging Therapy.,5,5_abstract_title_cells_cancer
20697,33510144,NUPR1 is a critical repressor of ferroptosis.,3,3_abstract_title_cells_cell
20698,33300893,Methods for isolation of messenger RNA from biological samples.,3,3_abstract_title_cells_cell
20699,33536773,CYP2C9 Variations and Their Pharmacogenetic Implications Among Diverse South Asian Populations.,11,11_patients_study_95_risk
20700,33532771,"Neutralization of SARS-CoV-2 spike 69/70 deletion, E484K, and N501Y variants by BNT162b2 vaccine-elicited sera.",4,4_abstract_title_cells_cell
20701,33513837,Microwave-Assisted Synthesis of (Piperidin-1-yl)quinolin-3-yl)methylene)hydrazinecarbothioamides as Potent Inhibitors of Cholinesterases: A Biochemical and In Silico Approach.,10,10_resistance_isolates_strains_study
20702,33506265,biotoolsSchema: a formalized schema for bioinformatics software description.,7,7_title_abstract_cell_cells
20703,33502903,Lymphatic Vasculature: An Emerging Therapeutic Target and Drug Delivery Route.,7,7_title_abstract_cell_cells
20704,33501917,Foxc1 establishes enhancer accessibility for craniofacial cartilage differentiation.,6,6_proteins_cell_protein_abstract
20705,33530496,Hypoxia-Induced S100A8 Expression Activates Microglial Inflammation and Promotes Neuronal Apoptosis.,5,5_abstract_title_cells_cancer
20706,33530452,Transcriptome Analysis Reveals Altered Inflammatory Pathway in an Inducible Glial Cell Model of Myotonic Dystrophy Type 1.,4,4_abstract_title_cells_cell
20707,33530290,An Overview of the Potential Therapeutic Applications of Essential Oils.,3,3_abstract_title_cells_cell
20708,33500409,Role of mutational reversions and fitness restoration in Zika virus spread to the Americas.,5,5_abstract_title_cells_cancer
20709,33497410,Streptococcus pneumoniae carriage and antibiotic susceptibility among Indonesian pilgrims during the Hajj pilgrimage in 2015.,10,10_resistance_isolates_strains_study
20710,33495455,Emerging functions of branched ubiquitin chains.,6,6_proteins_cell_protein_abstract
20711,33468680,Structure and assembly of the diiron cofactor in the heme-oxygenase-like domain of the N-nitrosourea-producing enzyme SznF.,8,8_abstract_title_biology_molecular
20712,33664851,MiR-22 modulates brown adipocyte thermogenesis by synergistically activating the glycolytic and mTORC1 signaling pathways.,0,0_cells_cell_abstract_title
20713,33495357,Cargo transport through the nuclear pore complex at a glance.,6,6_proteins_cell_protein_abstract
20714,33494775,Phosphatases in toll-like receptors signaling: the unfairly-forgotten.,4,4_abstract_title_cells_cell
20715,33238148,Mechanobiology of the Mitotic Spindle.,6,6_proteins_cell_protein_abstract
20716,33498913,Lysosome Function and Dysfunction in Hereditary Spastic Paraplegias.,5,5_abstract_title_cells_cancer
20717,33498905,Electrophysiology Read-Out Tools for Brain-on-Chip Biotechnology.,0,0_cells_cell_abstract_title
20718,34434770,The method to quantify cell elasticity based on the precise measurement of pressure inducing cell deformation in microfluidic channels.,0,0_cells_cell_abstract_title
20719,33498705,CD200 Change Is Involved in Neuronal Death in Gerbil Hippocampal CA1 Field Following Transient Forebrain Ischemia and Postischemic Treatment with Risperidone Displays Neuroprotection without CD200 Change.,2,2_cells_cancer_cell_expression
20720,33247590,"Clinical, Cellular, and Molecular Evidence of the Additive Antitumor Effects of Biguanides and Statins in Prostate Cancer.",2,2_cells_cancer_cell_expression
20721,32915992,Modularity in Protein Evolution: Modular Organization and De Novo Domain Evolution in Mollusk Metallothioneins.,4,4_abstract_title_cells_cell
20722,32533832,Impact of Intermediate Hyperglycemia and Diabetes on Immune Dysfunction in Tuberculosis.,3,3_abstract_title_cells_cell
20723,33499241,Biocomputational Prediction Approach Targeting FimH by Natural SGLT2 Inhibitors: A Possible Way to Overcome the Uropathogenic Effect of SGLT2 Inhibitor Drugs.,10,10_resistance_isolates_strains_study
20724,33499086,Antiviral Activity of Ribosome-Inactivating Proteins.,3,3_abstract_title_cells_cell
20725,33483550,Loss of Parkinson's susceptibility gene LRRK2 promotes carcinogen-induced lung tumorigenesis.,5,5_abstract_title_cells_cancer
20726,33483501,Artemisinin-resistant K13 mutations rewire Plasmodium falciparum's intra-erythrocytic metabolic program to enhance survival.,4,4_abstract_title_cells_cell
20727,33481834,Disclosing proteins in the leaves of cork oak plants associated with the immune response to Phytophthora cinnamomi inoculation in the roots: A long-term proteomics approach.,10,10_resistance_isolates_strains_study
20728,33426512,Impaired host response and the presence of Acinetobacter baumannii in the serum microbiome of type-II diabetic patients.,0,0_cells_cell_abstract_title
20729,33364588,NLRC5 promotes transcription of BTN3A1-3 genes and Vγ9Vδ2 T cell-mediated killing.,1,1_abstract_title_cells_cell
20730,33331765,pH-Activatable Cyanine Dyes for Selective Tumor Imaging Using Near-Infrared Fluorescence and Photoacoustic Modalities.,0,0_cells_cell_abstract_title
20731,33325234,Label-Free Quantification of Cell Cycle Synchronicity of Human Neural Progenitor Cells Based on Electrophysiology Phenotypes.,0,0_cells_cell_abstract_title
20732,33221336,The Wnt/β-Catenin Pathway is Activated as a Novel Nucleolar Stress Response.,0,0_cells_cell_abstract_title
20733,32104874,Increasing complexity in small-angle X-ray and neutron scattering experiments: from biological membrane mimics to live cells.,1,1_abstract_title_cells_cell
20734,33532648,"Transposable elements, contributors in the evolution of organisms (from an arms race to a source of raw materials).",8,8_abstract_title_biology_molecular
20735,33494344,Computational Design and Preliminary Serological Analysis of a Novel Multi-Epitope Vaccine Candidate against Onchocerciasis and Related Filarial Diseases.,7,7_title_abstract_cell_cells
20736,33479465,SARS-CoV-2 neutralizing antibodies in patients with varying severity of acute COVID-19 illness.,0,0_cells_cell_abstract_title
20737,33479319,The antimalarial efficacy and mechanism of resistance of the novel chemotype DDD01034957.,1,1_abstract_title_cells_cell
20738,33357414,Protein Synthesis in the Developing Neocortex at Near-Atomic Resolution Reveals Ebp1-Mediated Neuronal Proteostasis at the 60S Tunnel Exit.,5,5_abstract_title_cells_cancer
20739,33239382,Clinical Performance of the Point-of-Care cobas Liat for Detection of SARS-CoV-2 in 20 Minutes: a Multicenter Study.,9,9_sarscov2_virus_viral_covid19
20740,33575670,Phenotyping Tomato Root Developmental Plasticity in Response to Salinity in Soil Rhizotrons.,4,4_abstract_title_cells_cell
20741,33498476,Genome-Wide Circular RNA Expression Patterns Reflect Resistance to Immunomodulatory Drugs in Multiple Myeloma Cells.,1,1_abstract_title_cells_cell
20742,33472628,The role of hypoxia in the tumor microenvironment and development of cancer stem cell: a novel approach to developing treatment.,2,2_cells_cancer_cell_expression
20743,33472593,"Transcriptomic analysis of s-methoprene resistance in the lesser grain borer, Rhyzopertha dominica, and evaluation of piperonyl butoxide as a resistance breaker.",10,10_resistance_isolates_strains_study
20744,33477958,"Defining the Cell Wall, Cell Cycle and Chromatin Landmarks in the Responses of Brachypodium distachyon to Salinity.",8,8_abstract_title_biology_molecular
20745,33477812,The Prospect of Repurposing Immunomodulatory Drugs for Adjunctive Chemotherapy against Tuberculosis: A Critical Review.,5,5_abstract_title_cells_cancer
20746,33477740,"N-acetylglucosamine Signaling: Transcriptional Dynamics of a Novel Sugar Sensing Cascade in a Model Pathogenic Yeast, Candida albicans.",0,0_cells_cell_abstract_title
20747,33469139,Drosophila Hox genes induce melanized pseudo-tumors when misexpressed in hemocytes.,6,6_proteins_cell_protein_abstract
20748,33469009,Floquet spin states in OLEDs.,3,3_abstract_title_cells_cell
20749,33465137,The coronavirus proofreading exoribonuclease mediates extensive viral recombination.,9,9_sarscov2_virus_viral_covid19
20750,33463540,Keeping the peace: commensal Cutibacterium acnes trains CD4+ TH17 cells to trap and kill.,2,2_cells_cancer_cell_expression
20751,33432820,Genetic Etiology of Left-Sided Obstructive Heart Lesions: A Story in Development.,1,1_abstract_title_cells_cell
20752,33202023,Carbapenemase-producing Enterobacterales causing secondary infections during the COVID-19 crisis at a New York City hospital.,1,1_abstract_title_cells_cell
20753,33505682,Regulation of the human NK cell compartment by pathogens and vaccines.,7,7_title_abstract_cell_cells
20754,33477629,Tiny miRNAs Play a Big Role in the Treatment of Breast Cancer Metastasis.,2,2_cells_cancer_cell_expression
20755,33461550,Simulation of operating room crisis management - hypotension training for pre-clinical students.,11,11_patients_study_95_risk
20756,33467048,Liposomal Nanovaccine Containing α-Galactosylceramide and Ganglioside GM3 Stimulates Robust CD8+ T Cell Responses via CD169+ Macrophages and cDC1.,0,0_cells_cell_abstract_title
20757,33038510,Microfibril associated protein 4 (MFAP4) is a carrier of the tumor associated carbohydrate sialyl-Lewis x (sLex) in pancreatic adenocarcinoma.,2,2_cells_cancer_cell_expression
20758,33451348,The identification of novel immunogenic antigens as potential Shigella vaccine components.,7,7_title_abstract_cell_cells
20759,33446552,Senolysis by glutaminolysis inhibition ameliorates various age-associated disorders.,4,4_abstract_title_cells_cell
20760,33397745,Cancer-Associated Fibroblasts and T Cells: From Mechanisms to Outcomes.,2,2_cells_cancer_cell_expression
20761,33378170,Characterization of an Antibacterial Agent Targeting Ferrous Iron Transport Protein FeoB against Staphylococcus aureus and Gram-Positive Bacteria.,1,1_abstract_title_cells_cell
20762,33237849,Quantifying the roles of space and stochasticity in computer simulations for cell biology and cellular biochemistry.,0,0_cells_cell_abstract_title
20763,33167226,"Immuno-cytometric detection of circulating cell free methylated DNA, post-translationally modified histones and micro RNAs using semi-conducting nanocrystals.",1,1_abstract_title_cells_cell
20764,33520148,"Report and Abstracts of the 17th Meeting of IIM, the Interuniversity Institute of Myology:Virtual meeting, October 16-18, 2020.",8,8_abstract_title_biology_molecular
20765,33488965,Design and Synthesis of Fragment Derivatives with a Unique Inhibition Mechanism of the uPAR·uPA Interaction.,3,3_abstract_title_cells_cell
20766,33446240,The NYCKidSeq project: study protocol for a randomized controlled trial incorporating genomics into the clinical care of diverse New York City children.,11,11_patients_study_95_risk
20767,33372800,"3,4-Dihydropyrimidin-2(1H)-ones as Antagonists of the Human A2B Adenosine Receptor: Optimization, Structure-Activity Relationship Studies, and Enantiospecific Recognition.",3,3_abstract_title_cells_cell
20768,33451077,Cancer Stem Cells and Nucleolin as Drivers of Carcinogenesis.,3,3_abstract_title_cells_cell
20769,33441839,Quantitative immuno-mass spectrometry imaging of skeletal muscle dystrophin.,3,3_abstract_title_cells_cell
20770,33212020,The Early Evolution of Oral Poliovirus Vaccine Is Shaped by Strong Positive Selection and Tight Transmission Bottlenecks.,0,0_cells_cell_abstract_title
20771,33158944,The SARS-CoV-2 Conserved Macrodomain Is a Mono-ADP-Ribosylhydrolase.,9,9_sarscov2_virus_viral_covid19
20772,33144319,Middle East Respiratory Syndrome Coronavirus Gene 5 Modulates Pathogenesis in Mice.,9,9_sarscov2_virus_viral_covid19
20773,33436434,Salmonella enterica Serovar Typhimurium Exploits Cycling through Epithelial Cells To Colonize Human and Murine Enteroids.,10,10_resistance_isolates_strains_study
20774,33440708,"Increased Calbindin D28k Expression via Long-Term Alternate-Day Fasting Does Not Protect against Ischemia-Reperfusion Injury: A Focus on Delayed Neuronal Death, Gliosis and Immunoglobulin G Leakage.",2,2_cells_cancer_cell_expression
20775,33432092,A functional interaction between GRP78 and Zika virus E protein.,7,7_title_abstract_cell_cells
20776,33431834,Multistage and transmission-blocking targeted antimalarials discovered from the open-source MMV Pandemic Response Box.,4,4_abstract_title_cells_cell
20777,33430976,Association study between immune-related miRNAs and mixed connective tissue disease.,11,11_patients_study_95_risk
20778,33427195,A fungal member of the Arabidopsis thaliana phyllosphere antagonizes Albugo laibachii via a GH25 lysozyme.,8,8_abstract_title_biology_molecular
20779,33232299,Zika virus oncolytic activity requires CD8+ T cells and is boosted by immune checkpoint blockade.,5,5_abstract_title_cells_cancer
20780,33207226,Stromal SOX2 Upregulation Promotes Tumorigenesis through the Generation of a SFRP1/2-Expressing Cancer-Associated Fibroblast Population.,0,0_cells_cell_abstract_title
20781,33125860,Immunometabolic Interplay in the Tumor Microenvironment.,7,7_title_abstract_cell_cells
20782,33461170,CCDC167 as a potential therapeutic target and regulator of cell cycle-related networks in breast cancer.,0,0_cells_cell_abstract_title
20783,33182011,Evidences of SARS-CoV-2 virus air transmission indoors using several untouched surfaces: A pilot study.,9,9_sarscov2_virus_viral_covid19
20784,33069777,Plant production and functional characterization of catfish interleukin-22 as a natural immune stimulant for aquaculture fish.,7,7_title_abstract_cell_cells
20785,32544599,"Psychotropic medication use for adults and older adults with intellectual disability; selective review, recommendations and future directions.",11,11_patients_study_95_risk
20786,33435520,Ginkgolic Acid Inhibits Herpes Simplex Virus Type 1 Skin Infection and Prevents Zosteriform Spread in Mice.,1,1_abstract_title_cells_cell
20787,33422080,Drug resistance markers within an evolving efficacy of anti-malarial drugs in Cameroon: a systematic review and meta-analysis (1998-2020).,10,10_resistance_isolates_strains_study
20788,33447033,Engineered Nanomaterials: The Challenges and Opportunities for Nanomedicines.,7,7_title_abstract_cell_cells
20789,33420318,The spatial RNA integrity number assay for in situ evaluation of transcriptome quality.,3,3_abstract_title_cells_cell
20790,33420124,Identification of the atypical cadherin FAT1 as a novel glypican-3 interacting protein in liver cancer cells.,0,0_cells_cell_abstract_title
20791,33414192,"Tubulin glycylation controls axonemal dynein activity, flagellar beat, and male fertility.",3,3_abstract_title_cells_cell
20792,33411633,"Adiponectin, Leptin and Cardiovascular Disorders.",1,1_abstract_title_cells_cell
20793,33430387,Context Matters: NOTCH Signatures and Pathway in Cancer Progression and Metastasis.,1,1_abstract_title_cells_cell
20794,33430292,Protein Tyrosine Kinases: Their Roles and Their Targeting in Leukemia.,2,2_cells_cancer_cell_expression
20795,33430278,The Next Generation of Influenza Vaccines: Towards a Universal Solution.,0,0_cells_cell_abstract_title
20796,33414436,"Indoleamine 2,3-dioxygenase 1 limits hepatic inflammatory cells recruitment and promotes bile duct ligation-induced liver fibrosis.",0,0_cells_cell_abstract_title
20797,33413646,Impact of 3D cell culture on bone regeneration potential of mesenchymal stromal cells.,5,5_abstract_title_cells_cancer
20798,33411813,The genetic proteome: Using genetics to inform the proteome of mycobacterial pathogens.,7,7_title_abstract_cell_cells
20799,33411736,A novel type of colistin resistance genes selected from random sequence space.,4,4_abstract_title_cells_cell
20800,33113512,Liquid-liquid phase separation driven compartmentalization of reactive nucleoplasm.,4,4_abstract_title_cells_cell
20801,33419031,"Aldehyde Dehydrogenase 1B1 Is Associated with Altered Cell Morphology, Proliferation, Migration and Chemosensitivity in Human Colorectal Adenocarcinoma Cells.",0,0_cells_cell_abstract_title
20802,33408222,Genomic Epidemiology and Evolution of Escherichia coli in Wild Animals in Mexico.,10,10_resistance_isolates_strains_study
20803,33408128,Ctdp1 deficiency leads to early embryonic lethality in mice and defects in cell cycle progression in MEFs.,4,4_abstract_title_cells_cell
20804,33407928,"Sex differences in expression of immune elements emerge in children, young adults and mice with osteosarcoma.",4,4_abstract_title_cells_cell
20805,33407739,NK cell-based cancer immunotherapy: from basic biology to clinical development.,2,2_cells_cancer_cell_expression
20806,33402669,A new precision medicine initiative at the dawn of exascale computing.,2,2_cells_cancer_cell_expression
20807,33159852,Upregulation of Antioxidant Capacity and Nucleotide Precursor Availability Suffices for Oncogenic Transformation.,3,3_abstract_title_cells_cell
20808,33098835,Translating bioactive peptides for COVID-19 therapy.,7,7_title_abstract_cell_cells
20809,32810279,LncRNA-H19 silencing suppresses synoviocytes proliferation and attenuates collagen-induced arthritis progression by modulating miR-124a.,2,2_cells_cancer_cell_expression
20810,33186755,"Pho-view of Auxin: Reversible Protein Phosphorylation in Auxin Biosynthesis, Transport and Signaling.",4,4_abstract_title_cells_cell
20811,33006208,Structures of ISCth4 transpososomes reveal the role of asymmetry in copy-out/paste-in DNA transposition.,6,6_proteins_cell_protein_abstract
20812,33401719,Neuronal Death in the CNS Autonomic Control Center Comes Very Early after Cardiac Arrest and Is Not Significantly Attenuated by Prompt Hypothermic Treatment in Rats.,2,2_cells_cancer_cell_expression
20813,33120225,Evolution of resistance to fluoroquinolones by dengue virus serotype 4 provides insight into mechanism of action and consequences for viral fitness.,0,0_cells_cell_abstract_title
20814,39574559,A Coordinated Public Health Laboratory Response to COVID-19 in Mali.,9,9_sarscov2_virus_viral_covid19
20815,36798428,Arabidopsis sepals: A model system for the emergent process of morphogenesis.,3,3_abstract_title_cells_cell
20816,35378009,Innate Immune Subversion Strategies of Human Flaviviruses.,3,3_abstract_title_cells_cell
20817,35373190,"The Pandemic Experience in Southeast Asia: Interface Between SARS-CoV-2, Malaria, and Dengue.",3,3_abstract_title_cells_cell
20818,35308003,Lymphocyte-activated gene-3 (LAG3) protein expressed in tumor-infiltrating lymphocytes of colorectal cancer.,0,0_cells_cell_abstract_title
20819,35132600,Anticoronavirus Activity of Water-Soluble Pristine C60 Fullerenes: In Vitro and In Silico Screenings.,9,9_sarscov2_virus_viral_covid19
20820,35132592,The Molecular Virology of Coronaviruses with Special Reference to SARS-CoV-2.,9,9_sarscov2_virus_viral_covid19
20821,35014981,Neurotrophic factors in Alzheimer's disease: pathogenesis and therapy.,2,2_cells_cancer_cell_expression
20822,34955556,Antiviral and Antimicrobial Nucleoside Derivatives: Structural Features and Mechanisms of Action.,5,5_abstract_title_cells_cancer
20823,34912942,Molecular modelling and de novo fragment-based design of potential inhibitors of beta-tubulin gene of Necator americanus from natural products.,10,10_resistance_isolates_strains_study
20824,34881359,Neurofilament Light (NF-L) Chain Protein from a Highly Polymerized Structural Component of the Neuronal Cytoskeleton to a Neurodegenerative Disease Biomarker in the Periphery.,6,6_proteins_cell_protein_abstract
20825,34861942,RNA helicases required for viral propagation in humans.,9,9_sarscov2_virus_viral_covid19
20826,34766054,Role of nanotechnology in facing SARS-CoV-2 pandemic: Solving crux of the matter with a hopeful arrow in the quiver.,0,0_cells_cell_abstract_title
